TVB SUPER-FREE(粵),http://iptvpro.pw:35451/live/9169458555/2882972111/47.ts
TVB SUPER-FREE(國),http://iptvpro.pw:35451/live/9169458555/2882972111/50.ts
TVB 黃金翡翠台 ,http://iptvpro.pw:35451/live/9169458555/2882972111/52.ts
TVB 千禧經典台,http://iptvpro.pw:35451/live/9169458555/2882972111/53.ts
TVB 亞洲劇台 (原聲) ,http://iptvpro.pw:35451/live/9169458555/2882972111/54.ts
TVB 亞洲劇台 (粵) ,http://iptvpro.pw:35451/live/9169458555/2882972111/55.ts
TVB 華語劇台 (粵) ,http://iptvpro.pw:35451/live/9169458555/2882972111/56.ts
TVB 華語劇台 (國),http://iptvpro.pw:35451/live/9169458555/2882972111/57.ts
TVB 黃金華劇台 (粵) ,http://iptvpro.pw:35451/live/9169458555/2882972111/58.ts
TVB 黃金華劇台 (國) ,http://iptvpro.pw:35451/live/9169458555/2882972111/59.ts
TVB 娛樂新聞台,http://iptvpro.pw:35451/live/9169458555/2882972111/60.ts
TVB 戲曲台 ,http://iptvpro.pw:35451/live/9169458555/2882972111/61.ts
SUPER Kids Channel ,http://iptvpro.pw:35451/live/9169458555/2882972111/62.ts
ZooMoo ,http://iptvpro.pw:35451/live/9169458555/2882972111/63.ts
尼克兒童 Nickelodeon ,http://iptvpro.pw:35451/live/9169458555/2882972111/64.ts
TVB 粵語片台 ,http://iptvpro.pw:35451/live/9169458555/2882972111/65.ts
Thrill,http://iptvpro.pw:35451/live/9169458555/2882972111/66.ts
天映經典(粵),http://iptvpro.pw:35451/live/9169458555/2882972111/67.ts
天映經典(國),http://iptvpro.pw:35451/live/9169458555/2882972111/68.ts
天映頻道(粵),http://iptvpro.pw:35451/live/9169458555/2882972111/124.ts
天映頻道(國),http://iptvpro.pw:35451/live/9169458555/2882972111/125.ts
TVB 功夫台(粵),http://iptvpro.pw:35451/live/9169458555/2882972111/118.ts
TVB 功夫台(國),http://iptvpro.pw:35451/live/9169458555/2882972111/119.ts
TVB 星河(國),http://iptvpro.pw:35451/live/9169458555/2882972111/121.ts
TVB 星河(粵),http://iptvpro.pw:35451/live/9169458555/2882972111/120.ts
TVB Pearl Drama 明珠劇集台,http://iptvpro.pw:35451/live/9169458555/2882972111/117.ts
TVB 生活台,http://iptvpro.pw:35451/live/9169458555/2882972111/126.ts
SUPER 獎門人,http://iptvpro.pw:35451/live/9169458555/2882972111/127.ts
SUPER EYT,http://iptvpro.pw:35451/live/9169458555/2882972111/128.ts
SUPER 識食,http://iptvpro.pw:35451/live/9169458555/2882972111/129.ts
SUPER 識歎,http://iptvpro.pw:35451/live/9169458555/2882972111/130.ts
SUPER Music,http://iptvpro.pw:35451/live/9169458555/2882972111/131.ts
SUPER 金曲,http://iptvpro.pw:35451/live/9169458555/2882972111/132.ts
SUPER 煲劇,http://iptvpro.pw:35451/live/9169458555/2882972111/133.ts
SUPER 劇場,http://iptvpro.pw:35451/live/9169458555/2882972111/134.ts
SUPER 話當年,http://iptvpro.pw:35451/live/9169458555/2882972111/135.ts
星空衛視,http://iptvpro.pw:35451/live/9169458555/2882972111/145.ts
香港C＋頻道,http://iptvpro.pw:35451/live/9169458555/2882972111/147.ts
Channel V 音樂台,http://iptvpro.pw:35451/live/9169458555/2882972111/143.ts
澳視澳門台,http://iptvpro.pw:35451/live/9169458555/2882972111/150.ts
澳視衛星台,http://iptvpro.pw:35451/live/9169458555/2882972111/151.ts
澳門蓮花衛視,http://iptvpro.pw:35451/live/9169458555/2882972111/148.ts
澳門體育台,http://iptvpro.pw:35451/live/9169458555/2882972111/152.ts
Now Sports Plus,http://iptvpro.pw:35451/live/9169458555/2882972111/114.ts
Now Golf2,http://iptvpro.pw:35451/live/9169458555/2882972111/115.ts
Now Golf3,http://iptvpro.pw:35451/live/9169458555/2882972111/116.ts
